"","V1","V2"
"1",25.4480344248333,35.9357092180979
"2",27.8145989059057,39.2775851216729
"3",27.145717907983,38.3330440761215
"4",25.284186457634,35.7043360280529
"5",23.4785578528732,33.1545695740573
"6",27.9675938043184,39.4936324630678
"7",24.0326845823353,33.937063682934
"8",22.7708253071595,32.1551654337465
"9",21.7426105131165,30.7032015124614
"10",24.2904487991156,34.3010580011753
"11",39.429625990026,55.6794112465215
"12",28.2162175528944,39.844719332269
"13",26.0955872195654,36.8501322555074
"14",25.2888986464386,35.7109902098193
"15",29.4139840289344,41.5361107802528
"16",25.4428055760024,35.9283254497489
"17",26.2284460399894,37.0377450140456
"18",25.3445015342779,35.7895082271925
"19",26.2814371664544,37.1125749077811
"20",22.3060023807303,31.4987791194555
"21",21.1610718525176,29.8819984341612
"22",22.3081847925087,31.5018609494214
"23",21.2773621580321,30.0462144413422
"24",21.2372172048445,29.9895249013865
"25",21.9886990558911,31.0507083637735
"26",21.0529422315163,29.7293063026866
"27",20.3768304333745,28.7745544907653
"28",20.9223179807177,29.5448490273165
"29",20.638681409596,29.1443198087023
"30",24.2910591925589,34.3019199507043
"31",21.9333271000822,30.9725164504191
"32",22.4196682942865,31.6592891670834
"33",22.8047268990468,32.2030385907752
"34",23.4471268114542,33.1101851337505
"35",22.9815058886756,32.4526719518874
"36",24.7084109953836,34.8912712843901
"37",25.3632165477102,35.8159360946453
"38",22.8398991321415,32.2527060472059
"39",21.8050286888737,30.7913435424702
"40",21.6482312773005,30.569926591582
"41",21.2123714031212,29.9544396177408
"42",20.0786301515286,28.3534595473101
"43",20.0968757884384,28.3792245982191
"44",21.5377503709242,30.4139141601536
"45",26.0363756357465,36.7665183219935
"46",22.1592930271345,31.2916077292263
"47",24.3273219196794,34.3531273168806
"48",38.3676160482946,54.179724480319
